Var1,Var2,Freq
2008,under 25,91
2009,under 25,73
2010,under 25,61
2011,under 25,59
2012,under 25,40
2013,under 25,30
2014,under 25,38
2015,under 25,30
2016,under 25,40
2017,under 25,35
2018,under 25,63
2019,under 25,70
2020,under 25,80
2008,25 to 34,197
2009,25 to 34,176
2010,25 to 34,159
2011,25 to 34,178
2012,25 to 34,157
2013,25 to 34,131
2014,25 to 34,147
2015,25 to 34,155
2016,25 to 34,195
2017,25 to 34,178
2018,25 to 34,211
2019,25 to 34,213
2020,25 to 34,260
2008,35 to 44,171
2009,35 to 44,187
2010,35 to 44,149
2011,35 to 44,206
2012,35 to 44,186
2013,35 to 44,171
2014,35 to 44,196
2015,35 to 44,227
2016,35 to 44,312
2017,35 to 44,349
2018,35 to 44,429
2019,35 to 44,454
2020,35 to 44,416
2008,45 to 54,72
2009,45 to 54,78
2010,45 to 54,79
2011,45 to 54,90
2012,45 to 54,110
2013,45 to 54,116
2014,45 to 54,144
2015,45 to 54,171
2016,45 to 54,204
2017,45 to 54,243
2018,45 to 54,330
2019,45 to 54,389
2020,45 to 54,405
2008,55 and over,28
2009,55 and over,30
2010,55 and over,28
2011,55 and over,42
2012,55 and over,54
2013,55 and over,50
2014,55 and over,41
2015,55 and over,71
2016,55 and over,74
2017,55 and over,76
2018,55 and over,103
2019,55 and over,116
2020,55 and over,155
