x,predicted,std.error,conf.low,conf.high,group
1,1.157419675,0.066124167,1.016714269,1.317597625,under 25
1,1.165116451,0.038846755,1.079689391,1.257302661,25 to 34
1,0.992730845,0.038909417,0.919830213,1.071409176,35 to 44
1,0.796817331,0.057662825,0.711655854,0.892169798,45 to 54
1,0.44494009,0.124088022,0.348870767,0.567464236,55 and over
2,1.221599864,0.059376621,1.087379807,1.372387292,under 25
2,1.251256965,0.034816034,1.168711688,1.339632356,25 to 34
2,1.086322199,0.034993793,1.014304159,1.163453694,35 to 44
2,0.88352648,0.05205351,0.797822117,0.978437455,45 to 54
2,0.505230144,0.112155523,0.405518352,0.629459795,55 and over
3,1.289338914,0.052996301,1.162120032,1.430484624,under 25
3,1.343766102,0.030924459,1.264729022,1.427742471,25 to 34
3,1.188737035,0.03115143,1.118320726,1.263587185,35 to 44
3,0.979671263,0.046508699,0.894308182,1.07318238,45 to 54
3,0.573689593,0.100358279,0.471239082,0.698413526,55 and over
4,1.360834169,0.047132577,1.240740417,1.492552036,under 25
4,1.443114715,0.02723175,1.368101395,1.522241033,25 to 34
4,1.300807199,0.027413153,1.232752614,1.372618764,35 to 44
4,1.086278459,0.041054536,1.002284855,1.177310906,45 to 54
4,0.6514254,0.088750247,0.547407841,0.775208209,55 and over
5,1.436293914,0.042002366,1.322776368,1.559553269,under 25
5,1.549808465,0.023830534,1.479077522,1.623921833,25 to 34
5,1.423442965,0.023828002,1.358485898,1.491506005,35 to 44
5,1.204486582,0.035732554,1.123007368,1.291877479,45 to 54
5,0.739694527,0.077416583,0.63554624,0.86090981,55 and over
6,1.515937985,0.03790468,1.407385038,1.632863724,under 25
6,1.664390401,0.020863859,1.597694207,1.733870846,25 to 34
6,1.557640422,0.020476563,1.496357535,1.621433132,35 to 44
6,1.335558037,0.030611771,1.257774428,1.418151959,45 to 54
6,0.839924253,0.066497725,0.737276118,0.956863695,55 and over
7,1.599998407,0.035201957,1.493316591,1.71430152,under 25
7,1.787443719,0.018541494,1.72364522,1.853603636,25 to 34
7,1.704489568,0.017493682,1.647031327,1.763952294,35 to 44
7,1.480892603,0.025812212,1.407827539,1.557749682,45 to 54
7,0.953735259,0.056235813,0.854188889,1.06488267,55 and over
8,1.688720071,0.034226275,1.57913991,1.805904251,under 25
8,1.919594733,0.017127565,1.856216976,1.985136429,25 to 34
8,1.865183162,0.015099388,1.810786622,1.921213789,35 to 44
8,1.642042383,0.021549586,1.574124421,1.712890767,45 to 54
8,1.082967829,0.047062562,0.987531332,1.187627451,55 and over
9,1.782361448,0.035121861,1.66378156,1.909392679,under 25
9,2.061516064,0.016852301,1.994528505,2.130753444,25 to 34
9,2.041026412,0.01360799,1.987302837,2.096202319,35 to 44
9,1.820728378,0.018205045,1.756900172,1.886875464,45 to 54
9,1.229711607,0.039739174,1.137556691,1.32933211,55 and over
10,1.881195342,0.037755786,1.746996938,2.025702415,under 25
10,2.21393006,0.017768701,2.138145639,2.292400583,25 to 34
10,2.233447578,0.013326162,2.175860827,2.29255843,35 to 44
10,2.018858868,0.016351982,1.955173981,2.084618132,45 to 54
10,1.396339389,0.035431881,1.302649549,1.496767639,55 and over
11,1.985509684,0.041800726,1.82930775,2.155049475,under 25
11,2.377612474,0.019711254,2.287498137,2.4712768,25 to 34
11,2.444009569,0.014325469,2.376334289,2.513612164,35 to 44
11,2.238549791,0.016500776,2.167302534,2.312139209,45 to 54
11,1.585545487,0.03526377,1.479648044,1.699021941,55 and over
12,2.095608371,0.046892953,1.911568398,2.297367151,under 25
12,2.553396415,0.022414737,2.443635522,2.668087443,25 to 34
12,2.674422643,0.016372992,2.589951334,2.761648986,35 to 44
12,2.482147339,0.018603454,2.393262375,2.57433346,45 to 54
12,1.800389298,0.03928801,1.666941192,1.944520682,55 and over
13,2.21181215,0.05272992,1.994614207,2.452661257,under 25
13,2.742176583,0.025639568,2.607763986,2.883517241,25 to 34
13,2.926558294,0.01913515,2.818819705,3.038414777,35 to 44
13,2.752253015,0.022109411,2.635520919,2.874155391,45 to 54
13,2.04434477,0.046426943,1.866511089,2.23912173,55 and over
