"yr","age","n","lamhat","ci_low.di","ci_high.di","ci_low.pr","ci_high.pr","ci_low_difference","ci_high_difference"
2008,"under 25",91,1.69,1.38,1.99,1.35,2.02,0.03,-0.03
2008,"25 to 34",197,1.69,1.48,1.9,1.47,1.92,0.02,-0.02
2008,"35 to 44",171,1.58,1.36,1.8,1.34,1.82,0.02,-0.02
2008,"45 to 54",72,1.45,1.12,1.78,1.1,1.8,0.03,-0.03
2008,"55 and over",28,1.24,0.74,1.73,0.71,1.77,0.04,-0.04
2009,"under 25",73,1.73,1.39,2.08,1.35,2.11,0.03,-0.03
2009,"25 to 34",176,1.75,1.53,1.98,1.51,2,0.02,-0.02
2009,"35 to 44",187,1.64,1.43,1.85,1.41,1.87,0.02,-0.02
2009,"45 to 54",78,1.51,1.19,1.82,1.16,1.85,0.03,-0.03
2009,"55 and over",30,1.27,0.79,1.76,0.75,1.79,0.04,-0.04
2010,"under 25",61,1.78,1.4,2.16,1.36,2.2,0.04,-0.04
2010,"25 to 34",159,1.82,1.58,2.06,1.56,2.08,0.02,-0.02
2010,"35 to 44",149,1.71,1.47,1.95,1.45,1.97,0.02,-0.02
2010,"45 to 54",79,1.57,1.25,1.89,1.22,1.92,0.03,-0.03
2010,"55 and over",28,1.31,0.81,1.82,0.77,1.86,0.04,-0.04
2011,"under 25",59,1.83,1.44,2.22,1.4,2.26,0.04,-0.04
2011,"25 to 34",178,1.89,1.66,2.12,1.64,2.14,0.02,-0.02
2011,"35 to 44",206,1.79,1.58,2,1.56,2.02,0.02,-0.02
2011,"45 to 54",90,1.64,1.33,1.94,1.31,1.97,0.03,-0.03
2011,"55 and over",42,1.36,0.94,1.78,0.91,1.81,0.03,-0.03
2012,"under 25",40,1.88,1.4,2.37,1.36,2.41,0.05,-0.05
2012,"25 to 34",157,1.97,1.72,2.21,1.7,2.24,0.02,-0.02
2012,"35 to 44",186,1.88,1.65,2.1,1.63,2.12,0.02,-0.02
2012,"45 to 54",110,1.72,1.44,2,1.41,2.03,0.03,-0.03
2012,"55 and over",54,1.42,1.04,1.79,1.01,1.82,0.03,-0.03
2013,"under 25",30,1.94,1.38,2.5,1.33,2.56,0.06,-0.06
2013,"25 to 34",131,2.05,1.78,2.33,1.75,2.36,0.03,-0.03
2013,"35 to 44",171,1.97,1.74,2.21,1.71,2.23,0.02,-0.02
2013,"45 to 54",116,1.81,1.53,2.09,1.51,2.12,0.03,-0.03
2013,"55 and over",50,1.48,1.08,1.87,1.05,1.91,0.03,-0.03
2014,"under 25",38,2,1.5,2.51,1.45,2.56,0.05,-0.05
2014,"25 to 34",147,2.15,1.88,2.41,1.86,2.44,0.03,-0.03
2014,"35 to 44",196,2.08,1.86,2.31,1.84,2.33,0.02,-0.02
2014,"45 to 54",144,1.92,1.66,2.17,1.64,2.2,0.03,-0.03
2014,"55 and over",41,1.55,1.11,1.99,1.07,2.03,0.04,-0.04
2015,"under 25",30,2.07,1.5,2.65,1.44,2.7,0.06,-0.06
2015,"25 to 34",155,2.25,1.99,2.51,1.96,2.54,0.03,-0.03
2015,"35 to 44",227,2.21,1.99,2.42,1.97,2.44,0.02,-0.02
2015,"45 to 54",171,2.04,1.8,2.28,1.77,2.3,0.02,-0.02
2015,"55 and over",71,1.64,1.29,1.98,1.26,2.01,0.03,-0.03
2016,"under 25",40,2.14,1.64,2.65,1.59,2.7,0.05,-0.05
2016,"25 to 34",195,2.36,2.13,2.6,2.1,2.62,0.03,-0.03
2016,"35 to 44",312,2.35,2.16,2.53,2.14,2.55,0.02,-0.02
2016,"45 to 54",204,2.17,1.95,2.4,1.93,2.42,0.02,-0.02
2016,"55 and over",74,1.74,1.39,2.08,1.36,2.11,0.03,-0.03
2017,"under 25",35,2.22,1.67,2.77,1.62,2.82,0.06,-0.06
2017,"25 to 34",178,2.49,2.23,2.74,2.21,2.76,0.03,-0.03
2017,"35 to 44",349,2.5,2.32,2.68,2.3,2.7,0.02,-0.02
2017,"45 to 54",243,2.33,2.12,2.54,2.1,2.56,0.02,-0.02
2017,"55 and over",76,1.86,1.51,2.2,1.47,2.24,0.03,-0.03
2018,"under 25",63,2.3,1.89,2.71,1.85,2.76,0.04,-0.04
2018,"25 to 34",211,2.62,2.38,2.86,2.36,2.88,0.03,-0.03
2018,"35 to 44",429,2.68,2.51,2.84,2.49,2.86,0.02,-0.02
2018,"45 to 54",330,2.51,2.32,2.69,2.3,2.71,0.02,-0.02
2018,"55 and over",103,1.99,1.69,2.3,1.66,2.33,0.03,-0.03
2019,"under 25",70,2.39,1.99,2.79,1.95,2.83,0.04,-0.04
2019,"25 to 34",213,2.77,2.53,3.01,2.5,3.03,0.03,-0.03
2019,"35 to 44",454,2.87,2.71,3.04,2.69,3.06,0.02,-0.02
2019,"45 to 54",389,2.71,2.53,2.88,2.51,2.9,0.02,-0.02
2019,"55 and over",116,2.16,1.86,2.45,1.83,2.48,0.03,-0.03
2020,"under 25",80,2.48,2.11,2.86,2.07,2.9,0.04,-0.04
2020,"25 to 34",260,2.93,2.71,3.15,2.68,3.18,0.02,-0.02
2020,"35 to 44",416,3.09,2.91,3.27,2.89,3.29,0.02,-0.02
2020,"45 to 54",405,2.94,2.76,3.12,2.74,3.14,0.02,-0.02
2020,"55 and over",155,2.35,2.08,2.61,2.06,2.64,0.03,-0.03
